alpha,subset_ratio,repetition,os_time,os_iter,os_beta_mse,os_sigma_mse,inr_time,inr_iter,inr_beta_mse,inr_sigma_mse
1.0,0.05,169,99.02541279792786,1,3.417564916622625e-06,0.0012033908734983391,126.06436061859131,2,3.1285357174815353e-06,0.0012022438372771274
1.0,0.05,226,107.91837692260742,1,3.5652580058003464e-05,0.0014414268448489673,124.86651492118835,2,3.309467061835791e-05,0.0014130147378585906
1.0,0.05,55,106.53145051002502,1,0.002051399041697149,0.027935263879248,157.09708166122437,3,0.002000674268839192,0.02730680464056583
1.0,0.05,288,102.39023518562317,1,3.0392940169928558e-06,0.0009423088067440582,167.4116494655609,3,1.6152968547649743e-06,0.0009350444328449834
1.0,0.05,351,109.2107503414154,1,0.00032352431295007753,0.006154007802528911,144.4860236644745,2,0.0003145080445417245,0.0060293143385074435
1.0,0.05,477,114.4130265712738,1,3.548498197189903e-05,0.0016774887812824166,142.43166303634644,2,3.374584908181974e-05,0.0016490952081594915
1.0,0.05,117,114.450763463974,1,6.492067898993236e-07,0.0010925440338790382,163.31296849250793,3,9.954586527964845e-07,0.0010947536560068133
1.0,0.05,414,116.50788402557373,1,0.00012342418792664974,0.0029068561542798695,161.98619627952576,3,0.00011190330651096516,0.002756779903634162
1.0,0.05,170,120.26822280883789,1,0.0001332067258593015,0.0025958493206241907,134.58908224105835,2,0.0001312048036012377,0.00257248350504871
1.0,0.05,227,124.97713041305542,1,1.8124416478016704e-05,0.0011238255020171086,139.13132882118225,2,1.868069596645215e-05,0.0011304311793508305
1.0,0.05,56,113.1887788772583,1,2.793020673259746e-05,0.0013237283698215147,149.17487692832947,2,2.9083460602202716e-05,0.0013351698868353497
1.0,0.05,289,108.78796744346619,1,6.318252681736692e-07,0.0009186248705642649,178.05591869354248,3,5.176778034635084e-07,0.0009163334676782736
1.0,0.05,478,125.94189691543579,1,0.00010930304918915703,0.001941363317640053,131.17447066307068,2,0.00011292698563775836,0.001977398148400502
1.0,0.05,352,126.77423286437988,1,5.233121170989302e-05,0.0017191980933038823,151.04046320915222,3,5.693863689755896e-05,0.001767751435123438
1.0,0.05,118,130.03796005249023,1,1.7496980064551314e-05,0.0011135891951940269,153.34389352798462,3,1.4855974403348999e-05,0.0010958702709690108
1.0,0.05,415,129.50590300559998,1,2.5965253294844554e-05,0.0016032591174392455,153.00873136520386,3,2.9039810877916426e-05,0.0016474140240455703
1.0,0.05,171,129.21213674545288,1,1.0676347652749534e-06,0.0010582081835173438,152.55693936347961,3,4.42395068387e-07,0.0010420230310924804
1.0,0.05,228,119.35932278633118,1,5.915675080653947e-05,0.0017893637439906566,126.67949366569519,2,5.725721986313538e-05,0.001765365255547442
1.0,0.05,57,108.55735063552856,1,8.105443882108139e-05,0.0013739407878873675,167.00628232955933,3,6.956855852923531e-05,0.0012760823074731986
1.0,0.05,290,107.50153684616089,1,7.561649918152472e-05,0.002482003486733587,171.7377746105194,3,8.266078452592236e-05,0.0025883833244153575
1.0,0.05,479,119.27982592582703,1,5.710556156385938e-06,0.0008854683005120278,145.3112542629242,2,6.786651196325077e-06,0.0008942076129385009
1.0,0.05,353,119.00252079963684,1,4.289476305757748e-05,0.0020452985375110115,144.57568335533142,2,4.1592623455916495e-05,0.0020257934921279084
1.0,0.05,119,122.1071674823761,1,1.1764206877087233e-05,0.0014146097545169078,140.1113932132721,2,1.2970701982659133e-05,0.001427891655084282
1.0,0.05,416,123.91214108467102,1,0.0001802838708251551,0.0034012762647513926,141.48007249832153,2,0.0001860031949001149,0.0034685629851735687
1.0,0.05,172,122.57129287719727,1,2.072565846010539e-05,0.0012527477672207748,140.41412162780762,2,2.2109470808969947e-05,0.0012655638319977918
1.0,0.05,229,123.06427049636841,1,4.511363286784848e-05,0.0013751530734113443,164.98288321495056,3,4.085001895140057e-05,0.001326220477363125
1.0,0.05,58,117.78464579582214,1,7.902551962928795e-07,0.0010653354111750245,146.91734337806702,2,5.523251013924472e-07,0.0010629775442818593
1.0,0.05,291,119.24220657348633,1,5.68950205271248e-05,0.0015039554406477236,144.48835635185242,2,5.4301991003565526e-05,0.0014793845176790674
1.0,0.05,480,120.67310500144958,1,1.0451681583065146e-06,0.0013562555381730443,155.33511662483215,3,5.387282764914105e-07,0.0013431582407075224
1.0,0.05,354,122.08556270599365,1,9.062461663845247e-06,0.001077223940019227,154.02623295783997,3,1.1926900191941006e-05,0.0011002480603105112
1.0,0.05,120,121.05955910682678,1,1.4783828558572886e-05,0.0014693692253571488,154.50621151924133,3,1.7424415891270832e-05,0.0015060462064312402
