alpha,subset_ratio,repetition,os_time,os_iter,os_beta_mse,os_sigma_mse,inr_time,inr_iter,inr_beta_mse,inr_sigma_mse
1.0,0.1,40,215.68590831756592,1,2.7307536617276035e-06,0.0004877284042239188,261.89251708984375,2,2.8033490132657648e-06,0.000488985792318077
1.0,0.1,103,214.10221409797668,1,9.765416007627024e-06,0.0006607698453514323,263.4451050758362,2,9.170171186550766e-06,0.0006522474942525701
1.0,0.1,166,212.30838561058044,1,1.733766550658922e-06,0.0006082771191836086,263.65111804008484,2,1.8237812023911234e-06,0.0006098536124292214
1.0,0.1,41,222.43163204193115,1,0.0004436492286128342,0.006063572354663659,266.8209104537964,2,0.0004412023726893009,0.006033867926049635
1.0,0.1,104,222.97417950630188,1,1.3817086147176016e-06,0.0007644630112231195,262.7024381160736,2,1.2161679122829854e-06,0.0007654167217550167
1.0,0.1,167,223.7511842250824,1,2.764782421713203e-05,0.0008969535279706566,257.7124547958374,2,2.8188854844862728e-05,0.0009030048759649454
1.0,0.1,42,225.56387782096863,1,1.5069834825279485e-05,0.0010826968946540212,269.3532347679138,2,1.4844818261493745e-05,0.001078883787562857
1.0,0.1,168,230.41343426704407,1,8.49977450647963e-06,0.0005301135982474197,269.6416928768158,2,8.76926890612482e-06,0.0005336679527980717
1.0,0.1,292,227.45830059051514,1,9.899890696176138e-06,0.0006189096351720368,267.2374634742737,2,1.0298187782880588e-05,0.000622933106595171
1.0,0.1,355,221.70899391174316,1,5.6031808453450296e-05,0.0013083319411414346,269.59931659698486,2,5.536677848622501e-05,0.0012996345682000237
1.0,0.1,43,223.30404138565063,1,0.00015617042872816844,0.0019662812341307277,267.34962344169617,2,0.00015410259337890318,0.0019457320408407266
1.0,0.1,169,219.4089391231537,1,4.880278213850317e-06,0.000485256650160352,269.5353248119354,2,4.152281744302542e-06,0.00048041476617687317
1.0,0.1,293,223.99469542503357,1,5.6699572040535605e-06,0.0005315916810392741,277.769633769989,2,6.756462820874339e-06,0.0005457651001576656
1.0,0.1,356,234.715083360672,1,0.00016983227073206944,0.002293114876163044,272.9202721118927,2,0.00016866796173608262,0.002280324434622721
1.0,0.1,418,236.7224452495575,1,2.501151116038025e-05,0.0008174399425688181,274.008695602417,2,2.4250679714588305e-05,0.0008089969992567219
1.0,0.1,44,231.9211905002594,1,8.042773199802246e-07,0.000439595379975433,277.87913370132446,2,7.151219299285697e-07,0.00043913425602642634
1.0,0.1,170,224.42124819755554,1,2.598246364404588e-05,0.0009076941984742213,275.0953862667084,2,2.5188489066156422e-05,0.0008965970843839279
1.0,0.1,294,230.57824516296387,1,2.5702659455722555e-05,0.0006803298994247743,276.77938318252563,2,2.5306143912013214e-05,0.000675969251268877
1.0,0.1,419,227.64073967933655,1,0.00019458088651699284,0.00312813881405523,284.49607729911804,2,0.00019523088726107848,0.003136501135626083
1.0,0.1,171,241.66660451889038,1,9.832210275267845e-05,0.0017333048551786707,293.954313993454,2,9.93880928466209e-05,0.001747235726421258
1.0,0.1,295,233.15290904045105,1,5.287372318051884e-06,0.00031434743444533656,367.01634430885315,3,6.7232115710922444e-06,0.0003243513796602682
1.0,0.1,481,244.64822483062744,1,2.2442507161210624e-05,0.0006976358809329313,305.5402936935425,2,2.3587213041499867e-05,0.0007101643542832789
1.0,0.1,420,268.84155082702637,1,0.00011461738469867297,0.002215272891371021,247.58267211914062,2,0.0001130721314196247,0.0021946648015714245
1.0,0.1,172,259.5265829563141,1,6.904170399574707e-07,0.000580897373720671,237.4734401702881,2,7.4775555106173e-07,0.0005804150888124196
1.0,0.1,296,195.06643557548523,1,5.367199639570051e-06,0.0006032851392484522,230.0829312801361,2,5.747302523566453e-06,0.0006083191052108297
1.0,0.1,482,193.85652256011963,1,0.00019381785413600334,0.002797436788968446,225.90658950805664,2,0.0001916020096123359,0.002771765833380275
1.0,0.1,421,201.85275840759277,1,1.3981360071352306e-05,0.0006286573797507089,200.66435289382935,2,1.3502475410852763e-05,0.0006237225278933174
