alpha,subset_ratio,repetition,os_time,os_iter,os_beta_mse,os_sigma_mse,inr_time,inr_iter,inr_beta_mse,inr_sigma_mse
0.2,0.1,394,67.11775374412537,1,0.00021673572491460097,0.004864860136582283,150.1312129497528,3,0.00018657705320866425,0.004535828102315869
0.2,0.1,457,70.1851110458374,1,0.0008152785844580581,0.01605778756564229,146.64908146858215,3,0.000759370255250757,0.015269239441909492
0.2,0.1,458,73.43420124053955,1,0.0001009058193467619,0.0041571660710436305,150.13966631889343,3,8.979879075256142e-05,0.00398774643361135
0.2,0.1,459,84.58214545249939,1,0.0003096484870058658,0.007145830397461556,141.71264028549194,3,0.0002879409172493337,0.006856439334072389
0.2,0.1,460,78.8658196926117,1,1.8670608644340997e-06,0.002307145205740767,151.349604845047,3,7.6197625397718546e-06,0.0023237870799988638
0.2,0.1,0,83.67983317375183,1,0.0012878840506748094,0.026093714285483974,157.79177856445312,3,0.001262044885429926,0.025706850848500475
0.2,0.1,1,85.2312388420105,1,5.2362597193822576e-05,0.003413223202608104,156.20350527763367,3,8.766247004699426e-05,0.0038433781989063425
0.2,0.1,2,84.63914346694946,1,0.0009188149540010968,0.013214590919168365,150.41748023033142,3,0.0009636972708471706,0.013737428102614455
0.2,0.1,3,81.45401906967163,1,0.000297744236890303,0.007125274939842087,154.0565266609192,3,0.00021775999484787822,0.005954550191598763
0.2,0.1,4,81.43823885917664,1,0.0002882678141768122,0.006516472595462491,155.81202483177185,3,0.00020701399477857492,0.005463424984526431
0.2,0.1,5,80.20244860649109,1,1.3283517753693913e-05,0.0025759089466365946,153.7520740032196,3,6.087483374097115e-06,0.0024040975845273675
0.2,0.1,6,78.2086112499237,1,9.372856719250918e-06,0.002301847418026947,156.7606942653656,3,2.4563991361635842e-06,0.0022275225681972575
0.2,0.1,7,83.20752191543579,1,9.313447677976831e-05,0.004304159887116869,152.90899395942688,3,6.241519576645919e-05,0.003856196263918058
0.2,0.1,8,86.84285235404968,1,0.0002628216166111302,0.0051231879433317,155.26678442955017,3,0.00022013206739739826,0.004646122373269813
0.2,0.1,9,79.0509705543518,1,0.00023104338167923884,0.006759243320421785,188.3961660861969,3,0.00020356352179891156,0.0063549217692696605
0.2,0.1,10,87.89929270744324,1,0.00011603550820499824,0.0038104050741503697,191.0657548904419,3,0.00012530936742018338,0.003909465661418177
0.2,0.1,11,86.064932346344,1,1.405837839612678e-05,0.002769165782556961,190.20037460327148,3,5.788388815390706e-06,0.0026461069764847946
0.2,0.1,12,95.8830053806305,1,0.0004168426778752023,0.008609193733251691,177.27197647094727,3,0.0003701959550497526,0.008007953381816672
0.2,0.1,13,105.06404757499695,1,2.235578398338909e-05,0.002562304814670581,192.50142455101013,3,3.7581763532707415e-05,0.0027357491440571664
0.2,0.1,14,97.87412858009338,1,6.042923547856428e-05,0.0021637627592177274,192.10618710517883,3,4.197402324040315e-05,0.0020210479851118183
0.2,0.1,15,94.1449294090271,1,0.0002491767042254374,0.007248036132088072,192.00682830810547,3,0.0002767518014206214,0.007668102553799947
