alpha,subset_ratio,repetition,os_time,os_iter,os_beta_mse,os_sigma_mse,inr_time,inr_iter,inr_beta_mse,inr_sigma_mse
0.5,0.05,24,64.34320902824402,1,0.0004336380677506602,0.007835210925386752,108.85422253608704,3,0.0004461830709078952,0.007994407688356502
0.5,0.05,87,64.14463210105896,1,0.00014849098209693696,0.004018225402987136,105.02749061584473,3,0.00015613553258086071,0.004104919623188544
0.5,0.05,150,60.66040825843811,1,0.0006689987206479298,0.009936666435266224,103.4112286567688,3,0.0006287670916272591,0.009480965404677057
0.5,0.05,213,62.085134744644165,1,1.5648367340142766e-06,0.001936919114715961,99.82387161254883,3,4.722138820137409e-06,0.0019469241564830295
0.5,0.05,276,61.955400466918945,1,2.059605637806142e-06,0.0017394853520195908,98.31648421287537,3,3.1720102497364533e-06,0.001724878587378611
0.5,0.05,339,63.66360330581665,1,0.00012929196654361483,0.004330116109194093,97.76345467567444,3,0.00014306615392598317,0.004525756026397792
0.5,0.05,402,67.19910764694214,1,2.023495582641899e-05,0.0014968292978842985,95.35459923744202,3,2.629177671587831e-05,0.0014812189575395096
0.5,0.05,25,59.61169362068176,1,8.915056682056821e-05,0.0030771943029077693,104.28388571739197,3,0.00012175805333736393,0.003487907518147398
0.5,0.05,88,60.361531496047974,1,5.165468216225326e-06,0.0025693591852696913,99.9796667098999,3,9.258740021994827e-07,0.0025236954480321676
0.5,0.05,151,69.69257616996765,1,2.9767011327969214e-05,0.003410149714113189,94.37952756881714,3,7.091620590203103e-05,0.0038596821118738276
0.5,0.05,214,68.9981062412262,1,2.310780761466328e-06,0.0023287083304994595,92.72273278236389,3,1.2577829648136548e-05,0.0022156115437670402
0.5,0.05,277,70.4496705532074,1,0.00021011849191520803,0.005449198166855105,89.54587173461914,3,0.000183827054861479,0.005092309829946056
0.5,0.05,465,72.28331589698792,1,2.930571322955603e-06,0.0033330297846521657,93.17477321624756,3,7.203626680456221e-07,0.0033010690921266967
0.5,0.05,340,73.82940030097961,1,0.0008262291649862351,0.014256610684022644,87.5295991897583,3,0.000679369622737871,0.012283322154525165
0.5,0.05,403,72.3786268234253,1,0.0005718265965717215,0.009952778578411193,95.51600551605225,3,0.00046872538308283176,0.008632195423943665
0.5,0.05,26,69.70186519622803,1,3.5322885456215624e-05,0.0033995392006744463,101.22160410881042,3,4.374202318155357e-05,0.0034898579775617133
0.5,0.05,89,68.75676536560059,1,0.00023065189905923023,0.004904054937697553,100.61026048660278,3,0.00019190118663315597,0.004439002410768383
0.5,0.05,152,74.66191792488098,1,0.00010607613502623457,0.003513349345570521,93.3372061252594,3,0.000123916116515628,0.00368870813646878
0.5,0.05,215,74.20223784446716,1,0.0002314846730073481,0.00402738823497534,94.18617153167725,3,0.00024395525469663332,0.004160399770017035
0.5,0.05,278,71.19336986541748,1,0.00019588204669514583,0.004055011002881937,94.44689130783081,3,0.00017255643967064812,0.003744449530605602
0.5,0.05,466,75.18893432617188,1,1.4732222180715009e-05,0.0023723922645066814,92.70958733558655,3,7.839737750442855e-06,0.0022239494390303965
