alpha,subset_ratio,repetition,os_time,os_beta_mse,os_sigma_mse,inr_time,inr_beta_mse,inr_sigma_mse
0.1,0.05,33,20.257928371429443,0.0011586154557397224,0.03278453374157753,85.24130177497864,0.006060718584331515,0.08639548682559837
0.1,0.05,99,25.116374492645264,0.0010113556967953226,0.022792654130868777,89.87825512886047,0.0003112750011834162,0.33196050943640726
0.1,0.05,198,14.530850410461426,0.00019218793479159143,0.014971511952791108,115.10394096374512,0.003023035434115167,0.18051232503819292
0.1,0.05,66,30.188130617141724,0.0007699242161008515,0.013563445322764331,107.83764386177063,0.0001643615726940981,0.16760757193470724
0.1,0.05,165,30.94965648651123,0.0008662299020424852,0.014865727817200754,110.28519082069397,0.0030448840769641034,0.022950858843558516
0.1,0.05,0,28.85117268562317,0.0009556022891061176,0.016699150908647275,126.07498407363892,0.000914039776703675,0.4911906521863261
0.1,0.05,231,23.464596033096313,0.0017636182598109612,0.02791574211206331,144.51643824577332,0.0016334682973960343,0.1735745532638752
0.1,0.05,132,24.69209575653076,0.001674525849667621,0.018335508909494834,145.3497748374939,0.00155155866525219,0.6487773524403727
0.1,0.05,100,27.178426265716553,3.217302969733721e-05,0.01358575819399609,23.543373584747314,0.00032024003356699224,0.9641443644645813
0.1,0.05,199,21.946021556854248,0.0009535142089093986,0.012397328989376621,19.51286482810974,0.0001486123618362819,0.14057504293674145
0.1,0.05,34,31.88453245162964,0.00024415845658885913,0.014419320885552004,35.5001015663147,5.1433371663123977e-05,0.17137800198830322
0.1,0.05,67,19.879941940307617,0.0005108912876176593,0.020255013248788725,17.67034649848938,0.000544397227204443,0.8050506293009687
0.1,0.05,166,14.006395816802979,0.0011606641328503445,0.01865265236071174,23.183162689208984,0.00017302291878059235,0.3269073491704991
0.1,0.05,232,5.907826662063599,0.0003926978589555008,0.014764891317806356,17.756412744522095,0.0005997292185262825,1.2722044503777463
0.1,0.05,1,10.20112943649292,0.0034248876207142705,0.04696167785325165,27.15359330177307,0.0005169446827577894,0.020741628072825136
0.1,0.05,133,5.363752365112305,0.0010559741326723313,0.017848424563892594,38.398557901382446,0.0002914751943084852,0.33425242749509343
