,seed,RMSE,opt
0,0,0.05609633462510172,0
1,1,0.05572377663793562,0
2,2,0.05152562623982398,0
3,3,0.0943173446108586,0
4,4,0.06332659130067378,0
5,5,0.03875891436745087,0
6,6,0.07385753586268116,0
7,7,0.05396105645652413,0
8,8,0.3866840077404216,0
9,9,0.08434196449401826,0
10,10,0.3975366329095686,0
11,11,0.36232246943105223,0
12,12,0.055650586336255685,0
13,13,0.3721312269849371,0
14,14,0.07885710312379171,0
15,15,0.05263547566444999,0
16,16,0.37237144732336946,0
17,17,0.35127086701782834,0
18,18,0.050167066427943274,0
19,19,0.33487526310610777,0
20,20,0.3812258290368298,0
21,21,0.35406853767619273,0
22,22,0.36072118689050303,0
23,23,0.05637836349036722,0
24,24,0.3481650255772158,0
25,25,0.056002723342853104,0
26,26,0.3607481214741334,0
27,27,0.3181931550251387,0
28,28,0.1716834904005828,0
29,29,0.3243156861071667,0
30,30,0.3736566333963195,0
31,31,0.11019067704537756,0
32,32,0.05812581677773582,0
33,33,0.07298609094999359,0
34,34,0.35283348281108823,0
35,35,0.08344430959921019,0
36,36,0.05566089952863951,0
37,37,0.3769409114744406,0
38,38,0.372831592102399,0
39,39,0.33963934529603224,0
40,40,0.06860772349763723,0
41,41,0.06702417940689999,0
42,42,0.07057887949190483,0
43,43,0.05128698667461644,0
44,44,0.04928797727047397,0
45,45,0.4084527366096667,0
46,46,0.07885865877270762,0
47,47,0.3092065481462971,0
48,48,0.09853797975073994,0
49,49,0.3159994603147901,0
50,50,0.3589293612080729,0
51,51,0.0868872727879298,0
52,52,0.11200498891057414,0
53,53,0.37145901214301996,0
54,54,0.068302432599889,0
55,55,0.3702488669204756,0
56,56,0.35919028294847793,0
57,57,0.12843541141708134,0
58,58,0.050845194018688616,0
59,59,0.05019524336982899,0
60,60,0.07588162615849664,0
61,61,0.046121871036300666,0
62,62,0.32989657506304354,0
63,63,0.3726775544559059,0
64,64,0.053556596556397794,0
65,65,0.05037402623757392,0
66,66,0.08078911428790901,0
67,67,0.0917638644116859,0
68,68,0.3177329800725372,0
69,69,0.08481641654972101,0
70,70,0.06869566108924956,0
71,71,0.06008033491723688,0
72,72,0.052498178720125466,0
73,73,0.10033928885956217,0
74,74,0.050845530360452085,0
75,75,0.36865776912030873,0
76,76,0.35889360503115625,0
77,77,0.3780700890075691,0
78,78,0.37343925674214007,0
79,79,0.05620933656906659,0
80,80,0.34053119800166975,0
81,81,0.06957437689342139,0
82,82,0.3402906482105357,0
83,83,0.37517100904834505,0
84,84,0.05213578689154298,0
85,85,0.05253288724410997,0
86,86,0.06132553983288422,0
87,87,0.04708158774423728,0
88,88,0.11527044774096366,0
89,89,0.06673700560194722,0
90,90,0.32115404947255216,0
91,91,0.06580328712158419,0
92,92,0.35707851079430014,0
93,93,0.3618130848835267,0
94,94,0.391719520538797,0
95,95,0.07770275422942208,0
96,96,0.045482963477138406,0
97,97,0.0672493999815487,0
98,98,0.04778684529396746,0
99,99,0.07511977172981148,0
100,100,0.05776797479878865,0
101,101,0.36364394009710593,0
102,102,0.3930442758481299,0
