alpha,subset_ratio,repetition,os_time,os_iter,os_beta_mse,os_sigma_mse,inr_time,inr_iter,inr_beta_mse,inr_sigma_mse
0.2,0.05,12,42.27164125442505,1,0.00022991050015762414,0.006550160856422221,88.13900995254517,4,0.0004065207402618993,0.008428182127150028
0.2,0.05,390,47.2970757484436,1,4.383546934905866e-06,0.004759110469716563,65.50429677963257,3,1.914283364675584e-05,0.005185016990618539
0.2,0.05,75,46.389381647109985,1,4.8526883892530487e-05,0.005158851634816859,86.91108441352844,4,3.9977329548439326e-06,0.005021641579304716
0.2,0.05,138,43.11258792877197,1,0.0008935085220638354,0.01766807409030519,83.10742545127869,4,0.0015865551057298217,0.026667344509749422
0.2,0.05,201,45.64732336997986,1,0.0003120013072676661,0.010191066255698154,82.02892994880676,4,0.0001479921683582792,0.00789188975807794
0.2,0.05,264,48.272016286849976,1,0.00030256967228941764,0.009716874145611672,82.39103722572327,4,8.676921196257397e-05,0.006560000385287971
0.2,0.05,327,49.866440296173096,1,1.23532907714837e-05,0.005553734330898909,81.49464559555054,4,0.000142593508464467,0.008279129017077329
0.2,0.05,453,49.19012236595154,1,0.0014281523573816545,0.02588945213472915,81.74748015403748,4,0.00045818180451834295,0.013641744838581469
0.2,0.05,76,51.476218700408936,1,0.002037481521273317,0.031936603248415636,75.29219245910645,3,0.0017513819271451389,0.02833099671283609
0.2,0.05,202,50.024107217788696,1,0.0002584485560603621,0.007211584004527379,76.44695615768433,3,0.0003318008438615025,0.008033946384082556
0.2,0.05,265,48.87568211555481,1,0.00026932722379333996,0.010062513310376638,75.26965498924255,3,0.0001790746182170418,0.008647149755591978
0.2,0.05,391,52.05016088485718,1,0.0011724734524893074,0.021373552892772492,93.50338959693909,4,0.00046591580154849865,0.012264075295493011
0.2,0.05,13,52.43811917304993,1,3.213029199749751e-05,0.008973359238687875,94.38224816322327,4,1.6701315812587423e-06,0.008352570405781997
0.2,0.05,139,52.50826406478882,1,0.0027417153942236637,0.04133562579362702,92.772212266922,4,0.0020477799920695498,0.03261441154672921
0.2,0.05,454,47.8178174495697,1,0.0005687036264308462,0.015652206303443897,90.78226399421692,4,0.00033158974435890115,0.012015308818478367
0.2,0.05,328,49.52047896385193,1,0.0005147179032449176,0.009310393003621336,91.89754366874695,4,0.00024358415241342311,0.0064115796075302385
0.2,0.05,266,44.646647930145264,1,0.0013656184690302177,0.021457768255216877,70.6826000213623,3,0.0010863421270127266,0.018166859668420278
0.2,0.05,77,43.08042311668396,1,0.0009770607737387645,0.014964848326191662,89.82683086395264,4,0.001452097907887306,0.02031158807529675
0.2,0.05,392,46.53817915916443,1,0.00015944619398124824,0.007706886494892401,71.56246185302734,3,9.21922203106389e-05,0.006705022050253528
0.2,0.05,203,42.56334209442139,1,0.001631923276841028,0.026528240469684293,90.45802807807922,4,0.0020350622619490282,0.03153920687901687
0.2,0.05,14,47.15333366394043,1,0.000423328197079447,0.009599288720021647,90.6271026134491,4,8.755197101380493e-05,0.005389056689227525
0.2,0.05,329,46.56579542160034,1,0.000564016778544911,0.014037628108224948,71.69590973854065,3,0.0007338740238088578,0.016444538685059188
0.2,0.05,140,46.25623917579651,1,0.0005332801988831434,0.01227420495768963,90.9366044998169,4,0.0009182251703641531,0.017111657107335327
0.2,0.05,455,46.5436851978302,1,0.0006967903538507389,0.015050681522140301,95.42515087127686,4,0.0004373530548345929,0.011670406966278708
0.2,0.05,267,46.93156814575195,1,0.0005498081729245381,0.010310425873337527,78.90961956977844,3,0.0006758778464409668,0.011639797096576142
0.2,0.05,78,46.269282579422,1,0.00012005635653848754,0.00710733612879131,78.29314303398132,3,0.00017597412887244304,0.007750296792153225
0.2,0.05,393,46.41980767250061,1,0.00038326962476641833,0.011536991370729803,88.73535823822021,4,0.00014917471324728688,0.008386704548181417
0.2,0.05,330,48.392961263656616,1,0.0001221818037001549,0.0069864993078550645,65.67484617233276,3,9.678317072412521e-05,0.006650335846690407
0.2,0.05,204,46.78614664077759,1,2.285739449640285e-05,0.007451158506619696,85.58714270591736,4,0.00022275121707423907,0.009710662691260814
0.2,0.05,141,46.75950288772583,1,0.006151728421568495,0.09565918994581207,78.04696869850159,4,0.0038644447950698215,0.06456914801426422
0.2,0.05,15,46.2457857131958,1,0.0008466864645874327,0.014931244654419246,83.5731589794159,4,0.0005309967486601965,0.0111843919664239
0.2,0.05,456,45.985573053359985,1,0.000501752116633272,0.013608210658150786,78.59633159637451,4,0.00032011453735475036,0.011027309091576707
0.2,0.05,268,37.088749170303345,1,0.0015869985671302523,0.02529396582888434,107.1911997795105,4,0.0008264556514862475,0.015799068006177672
0.2,0.05,205,48.50019192695618,1,0.0002116447481047529,0.008027247634427201,81.14895939826965,3,0.00012103781565108724,0.007114356787081431
0.2,0.05,79,43.86668515205383,1,0.00011144031804351218,0.008203864257428885,103.03982257843018,4,3.55035893343502e-05,0.006686142302171344
0.2,0.05,394,47.01572299003601,1,0.0033086378249116014,0.04128437904298754,97.62317633628845,4,0.0021133448342143552,0.027855444827742645
0.2,0.05,16,48.213943004608154,1,0.00015734682864443583,0.00915578728691958,76.68889379501343,3,8.443783402703497e-05,0.0079131425236194
0.2,0.05,331,48.02573227882385,1,4.028596268166893e-05,0.007618575920480095,98.03522157669067,4,0.00023531128084099882,0.011469932630560755
0.2,0.05,457,46.745909214019775,1,4.092823596743433e-06,0.003559418824603521,72.90209817886353,3,1.4016943685283618e-05,0.0034043507303071424
0.2,0.05,142,48.913599729537964,1,0.00011488274964211253,0.009721194217217354,92.1804986000061,4,0.0006180027375461984,0.015718883449964492
0.2,0.05,269,37.33973479270935,1,0.0004337304894324686,0.010512154929320595,80.92138957977295,3,0.0005801506357932909,0.012389391747769958
0.2,0.05,395,39.49444270133972,1,5.711986364657918e-06,0.005388760280043613,79.57590818405151,3,2.6636326472394936e-05,0.005993978008402219
0.2,0.05,17,39.10906386375427,1,0.00027584910276887104,0.008322673503616894,81.5622091293335,3,0.00022270850007264625,0.007739609173548596
0.2,0.05,332,40.775465965270996,1,0.0022924143484320666,0.03461271776353382,81.01114988327026,3,0.002009647796909488,0.03118849282072662
0.2,0.05,206,37.63236737251282,1,0.0014856329193136998,0.026845842479984935,100.29291081428528,4,0.0011683947382237574,0.022663103112631307
0.2,0.05,80,41.89898753166199,1,0.0011211287203513594,0.02090476515083093,99.37946557998657,4,0.0015436255570075298,0.026019138880088766
0.2,0.05,143,43.746981620788574,1,0.00018797749139226486,0.00851699785577618,78.85868716239929,3,0.00010750437077963325,0.0072862612573283084
0.2,0.05,458,43.538212299346924,1,0.00024616992334162166,0.008318711478884334,100.3325457572937,4,8.098784104422269e-05,0.006026072620801284
0.2,0.05,396,43.09938979148865,1,0.004329820109833905,0.06341446290094786,72.65895652770996,3,0.00389678054729996,0.057893732127391545
0.2,0.05,270,45.70930862426758,1,0.0001344379196919249,0.008065727641880219,92.64191603660583,4,0.0004346018761133984,0.01136254792851894
0.2,0.05,18,44.32486057281494,1,6.984412987523185e-06,0.005849671166327672,73.68585157394409,3,1.0877649416987933e-05,0.005600090637079329
0.2,0.05,207,43.6164128780365,1,0.0007448363736962795,0.015928611368210326,74.75608444213867,3,0.0007872034982939777,0.016476304369336323
