,seed,RMSE
0,0,0.06246813233815796
1,1,0.10502108381478945
2,2,0.12481995138039684
3,3,0.16319990987453364
4,4,0.10096604622576778
5,5,0.06532264440030901
6,6,0.07870966508951524
7,7,0.06789150970636498
8,8,0.07109012558092956
9,9,0.08606092375571438
10,10,0.09077928920105939
11,11,0.07570134079915888
12,12,0.09702532647094797
13,13,0.138865608861744
14,14,0.08914713092879677
15,15,0.10645399524112305
16,16,0.255698826924132
17,17,0.08633605663478264
18,18,0.08561232214017687
19,19,0.08759708934336041
20,20,0.12139820117987644
21,21,0.0924594980083595
22,22,0.14029825876437782
23,23,0.19697262779653485
24,24,0.07031019177849653
25,25,0.1419531011963982
26,26,0.09802703795121426
27,27,0.1259705434253236
28,28,0.2661490451529211
29,29,0.1044843974065815
30,30,0.09919558860439748
31,31,0.0758509296204339
32,32,0.07772842188603124
33,33,0.15267673238557192
34,34,0.09569795157762444
35,35,0.2666109502176489
36,36,0.10331441471598211
37,37,0.10244038675859622
38,38,0.16712429221909164
39,39,0.0826851447724496
40,40,0.06242148116603069
41,41,0.1030451632019109
42,42,0.07078391295084441
43,43,0.12566618443931887
44,44,0.06443757006811802
45,45,0.15018618594878988
46,46,0.12861630191033604
47,47,0.07986722189395591
48,48,0.15493681945087848
49,49,0.09909786279894812
50,50,0.10128826684643537
51,51,0.11138014625575397
52,52,0.08960903686247014
53,53,0.0687177161840321
54,54,0.10054533642540467
55,55,0.1169246683206277
56,56,0.10010465343717484
57,57,0.10141279091566849
58,58,0.10826670781944149
59,59,0.06260696224804296
60,60,0.15433180443770506
61,61,0.35789198992711074
62,62,0.10541833246683528
63,63,0.13625886459798653
64,64,0.10510811353736384
65,65,0.37523350390053645
66,66,0.0787238346149518
67,67,0.09022205936545255
68,68,0.09640629077767991
69,69,0.13813843907996434
70,70,0.11590745196504215
71,71,0.124989887269092
72,72,0.08546001711420403
73,73,0.08376688546917146
74,74,0.07962870225565165
75,75,0.05786181529566204
76,76,0.13396351899462672
77,77,0.08874465453024347
78,78,0.11311525205998507
79,79,0.1679056972261801
80,80,0.07872530673817296
81,81,0.11866840669516732
82,82,0.26056586873051607
83,83,0.1256990835577623
84,84,0.09656008649189204
85,85,0.11544014934599972
86,86,0.08200701027753196
87,87,0.07835413253995945
88,88,0.12764961389282586
89,89,0.07203057693358739
90,90,0.08912262863593773
91,91,0.07905919249693007
92,92,0.07543480034954375
93,93,0.1310469687199759
94,94,0.15062241254511555
95,95,0.10411058574056467
96,96,0.09958099175232045
97,97,0.09866863939809968
98,98,0.30270812485927695
99,99,0.08057815414160757
