,seed,RMSE
0,1,0.32391884980926616
1,2,0.3446663426389633
2,3,0.3588318493992926
3,4,0.41014561379792014
4,5,0.33029989792132086
5,6,0.296330351291675
6,7,0.350132861525303
7,8,0.3783148976311193
8,9,0.35058021734229206
9,10,0.40681765851741974
10,11,0.3397397306609713
11,12,0.3472749867987279
12,13,0.3687694268484935
13,14,0.4103833341029186
14,15,0.3288989751702017
15,16,0.3618966100163292
16,17,0.3433251550382751
17,18,0.37473887069377704
18,19,0.3186288138735341
19,20,0.37048022390051766
20,21,0.3361869313633494
21,22,0.3598990490040419
22,23,0.31478081330326646
23,24,0.3471071823066416
24,25,0.3643525366308232
25,26,0.34904627921166315
26,27,0.39006885298136773
27,28,0.3716482524084308
28,29,0.38079601729383833
29,30,0.3633297248435333
30,31,0.39473500967616315
31,32,0.3206381609267156
32,33,0.34573883846861136
33,34,0.3448602825109013
34,35,0.3704623272943819
35,36,0.34318160577281215
36,37,0.3455682072616799
37,38,0.38427502783191236
38,39,0.36073170788970776
39,40,0.29188196910190656
40,41,0.3996641688572068
41,42,0.359522617903048
42,43,0.2889276323640161
43,44,0.40530072778327947
44,45,0.37021473007199357
45,46,0.39249722442062374
46,47,0.31937241328275623
47,48,0.3284071792518649
48,49,0.33949147774596977
49,50,0.36129431681417307
50,51,0.36731476240916094
51,52,0.36515808123185245
52,53,0.3577754048814958
53,54,0.3002427576283191
54,55,0.3992774641624838
55,56,0.3678056862327219
56,57,0.44228729572536285
57,58,0.40677208997756625
58,59,0.364269245723696
59,60,0.40440206117819366
60,61,0.36022780524637193
61,62,0.4053865250785049
62,63,0.3717775659061444
63,64,0.38671877226670703
64,65,0.34634805747062325
65,66,0.37895872643222717
66,67,0.3672245869702297
67,68,0.38596507706017097
68,69,0.39974981036630997
69,70,0.3982790502373552
70,71,0.3816909735344232
71,72,0.36193644273220826
