,seed,RMSE
0,1,0.3810027913565169
1,2,0.3622010542484058
2,3,0.3593883631655796
3,4,0.3643498314243261
4,5,0.35571919804476326
5,6,0.27780172799341835
6,7,0.3304164052409465
7,8,0.3704639603952891
8,9,0.37927575448297224
9,10,0.3546402593002196
10,11,0.3350107117095928
11,12,0.3652206822947205
12,13,0.36480388934761393
13,14,0.12844011237806707
14,15,0.32745503941078263
15,16,0.36888351342640524
16,17,0.3824140863481565
17,18,0.4382321856582485
18,19,0.3348290770412023
19,20,0.35060000322208057
20,21,0.3407248369414452
21,22,0.3629413976855661
22,23,0.3799103849091222
23,24,0.3710270999500046
24,25,0.39311966008698795
25,26,0.3962028017420002
26,27,0.39666353646351493
27,28,0.36925308594401873
28,29,0.3476568034505195
29,30,0.34640838128158136
30,31,0.3846447614300273
31,32,0.3773782887586972
32,33,0.3428468722475518
33,34,0.41927156856979575
34,35,0.3817506098877199
35,36,0.04809777059306727
36,37,0.36080286214204815
37,38,0.35797888266499606
38,39,0.3917321631817066
39,40,0.37639972679800626
40,41,0.37929713743109705
41,42,0.35150544818332685
42,43,0.3416437068707208
43,44,0.31852448964187763
44,45,0.3728610170971945
45,46,0.3641758075155715
46,47,0.32477574659948216
47,48,0.3482075773018474
48,49,0.3468363979229531
49,50,0.37460413252389624
50,51,0.3551492819519682
51,52,0.3980766772865873
52,53,0.37222724478799385
53,54,0.338866581511809
54,55,0.38487941413137744
55,56,0.3960877935910724
56,57,0.37965292519092747
57,58,0.058597053025890244
58,59,0.3342280796271601
59,60,0.35232711522033217
60,61,0.37585432871085855
61,62,0.36220985397648847
62,63,0.3475417282916525
63,64,0.3836306178930287
64,65,0.36012461841102117
65,66,0.33817965950533047
66,67,0.4072352240487486
67,68,0.38850831186673046
68,69,0.3616015053467265
69,70,0.3992940831286464
70,71,0.37615146246611797
71,72,0.3839601118177325
72,73,0.40665567968321026
73,74,0.3202251498178156
74,75,0.37755100211561987
75,76,0.3333824855170873
76,77,0.4079285914391213
77,78,0.34800864417600086
78,79,0.3858542855988408
79,80,0.3657186207846241
80,81,0.3802422248151056
81,82,0.33841179303633623
82,83,0.40936653230585623
83,84,0.38073580306957316
84,85,0.3393842655456258
85,86,0.052436662976621265
86,87,0.3345387960573551
87,88,0.39570175107357763
88,89,0.35184023391615166
89,90,0.3722157648037414
90,91,0.39557597579462095
91,92,0.3715063115979692
92,93,0.31012995485946504
93,94,0.33226314365641274
94,95,0.1146803207913312
95,96,0.3179571111557156
96,97,0.34799491252457593
97,98,0.3519548697478383
98,99,0.3698347369860129
99,100,0.37693474709251323
100,101,0.3489242119394818
101,102,0.3468137011259221
102,103,0.3944041823316611
103,104,0.33202029753878165
104,105,0.3672866751592379
105,106,0.3286216771360798
106,107,0.35680434750045575
107,108,0.388137387824556
108,109,0.07462145801594505
109,110,0.3684260577799234
110,111,0.3487580085811919
111,112,0.36729734872561576
112,113,0.3450966751289073
113,114,0.38109615258025403
114,115,0.37063274656675477
115,116,0.41270840569470907
116,117,0.3856573839705717
117,118,0.408469775095899
118,119,0.3708686237204632
119,120,0.32955899056215376
120,121,0.3859025909709002
121,122,0.3692188639783312
122,123,0.3763840666604385
123,124,0.3669661864975704
124,125,0.3521495492571593
