,seed,n,alpha,M,K,init_beta,init_sigma,os_beta,os_sigma,ts_beta,ts_sigma,ms_beta,ms_sigma,oracle_beta,oracle_sigma
1003,3,2500,0.5,159,2,0.0034751204447827,0.1389727540340861,0.0023189527591441,0.0794845872191764,0.0025313734136128,0.0794845872191764,0.0025295717729818,0.0794845872191764,0.0026446992956382,0.0738979730171675
753,3,2500,0.75,159,2,0.0019410859793101,0.1172548202986973,0.0016116177070358,0.0629429539993802,0.0014697575011914,0.0629429539993802,0.0014702389101864,0.0629429539993802,0.0014690407050267,0.0568181851128061
1503,3,2500,1.0,159,2,0.0026134349290276,0.0977581778700266,0.0017743614365717,0.0530748021525928,0.0017057743971708,0.0530748021525928,0.0017060768757424,0.0530748021525928,0.0017266173247334,0.0511612435527666
1003,3,5000,0.25,293,2,0.0023431659210787,0.1413239741048476,0.0017242346952653,0.0804803913171524,0.0017352946281644,0.0804803913171524,0.0017346662286296,0.0804803913171524,0.0017773435616236,0.0753466014267137
2003,3,5000,0.5,293,2,0.0016270289282654,0.0876250110914324,0.0013391076644371,0.0515391337072061,0.0012175636313421,0.0515391337072061,0.0012177065724094,0.0515391337072061,0.0012043746015711,0.0498726383539988
1253,3,5000,0.75,293,2,0.0017512881889851,0.0724106274566369,0.0016857773232066,0.0426438949335304,0.0015791659004163,0.0426438949335304,0.0015793320504678,0.0426438949335304,0.0015637848553548,0.0426321762416326
2503,3,5000,1.0,293,2,0.0019926843466223,0.0522714307687047,0.0007961289712083,0.0353210162821356,0.0009066731898694,0.0353210162821356,0.0009068880403214,0.0353210162821356,0.0008794264602599,0.0353299313190994
4,4,1000,0.25,72,2,0.0133514785538276,0.4489712872201307,0.010252357343955,0.2570317274721319,0.0061254623689869,0.2570317274721319,0.0063933212684073,0.2570317274721319,0.0060753773590596,0.1809765926401143
4,4,1000,0.5,72,2,0.0055597897205358,0.2634295952533706,0.003951238994223,0.1340916480364432,0.0039958848771387,0.1340916480364432,0.0039888262737918,0.1340916480364432,0.0039173193766933,0.1100349427356761
254,4,1000,0.75,72,2,0.0084373149056119,0.1984118333920307,0.0045405670797629,0.1082712313127002,0.0049804950711258,0.1082712313127002,0.0049752548314166,0.1082712313127002,0.0047123214419298,0.1029687435061691
504,4,1000,1.0,72,2,0.0046269503487113,0.157514490559226,0.0032921249108528,0.0843591648174262,0.00311852742467,0.0843591648174262,0.0031198412551618,0.0843591648174262,0.0029474519570381,0.0735409217357265
504,4,2500,0.25,159,2,0.0037342402350829,0.2269625619426707,0.0041872570435803,0.1174197696285972,0.0037361009093609,0.1174197696285972,0.003743711656062,0.1174197696285972,0.0034272550592625,0.0998724875506571
1004,4,2500,0.5,159,2,0.0035022415153357,0.1269308731816193,0.0023928521518709,0.0706556278929242,0.0022906216098754,0.0706556278929242,0.0022908236556828,0.0706556278929242,0.0022604937261462,0.0704397957508655
754,4,2500,0.75,159,2,0.003231308830039,0.1093955735091052,0.0024827521480744,0.0657209796013891,0.0025233003203586,0.0657209796013891,0.0025230285587789,0.0657209796013891,0.0025809604405795,0.0658697345133057
1504,4,2500,1.0,159,2,0.0016706593188904,0.0893987260966897,0.0014747890671313,0.0561504008141112,0.0014321554867069,0.0561504008141112,0.0014324494855266,0.0561504008141112,0.0013915406139328,0.0590538370049246
1004,4,5000,0.25,293,2,0.0032132051035533,0.1436018016977391,0.0018332679487762,0.0801276969875253,0.0017532110465611,0.0801276969875253,0.0017532283559955,0.0801276969875253,0.0017331614969304,0.0740032530976783
2004,4,5000,0.5,293,2,0.001591128113074,0.0926509563778541,0.001205166659695,0.0524727984521289,0.0010860716753505,0.0524727984521289,0.0010862580069862,0.0524727984521289,0.0010478704876551,0.0493903886224442
1254,4,5000,0.75,293,2,0.0012028525031114,0.0728916538093103,0.0009372202276872,0.0424424886225296,0.0008823845448626,0.0424424886225296,0.000882460850199,0.0424424886225296,0.0008742201548819,0.0414773969332064
2504,4,5000,1.0,293,2,0.0010993587007844,0.0528083190140935,0.0007289232833484,0.0380897971660752,0.0006473268599499,0.0380897971660752,0.0006472494112385,0.0380897971660752,0.0006566997599774,0.0383304285571119
5,5,1000,0.25,72,2,0.0140817793260692,0.4345771694276226,0.0171419426011439,0.246896760124953,0.0148411865583459,0.246896760124953,0.0152023882707514,0.246896760124953,0.0150371043591369,0.1622923042865053
5,5,1000,0.5,72,2,0.0091640442464121,0.2310671574380835,0.0049676225242806,0.1051579769802879,0.0051753913790696,0.1051579769802879,0.0051685389551483,0.1051579769802879,0.0049423326661378,0.0903638055251984
255,5,1000,0.75,72,2,0.0048891312426232,0.206742418914211,0.0043069300361079,0.1122092453931481,0.0039301889041711,0.1122092453931481,0.0039411866281159,0.1122092453931481,0.0038322349328498,0.0955246834955902
505,5,1000,1.0,72,2,0.0049508384869057,0.1696243028764948,0.0028895831222615,0.0908959731957455,0.002988311484434,0.0908959731957455,0.0029860844135487,0.0908959731957455,0.0030319095985404,0.0803132214973911
505,5,2500,0.25,159,2,0.0046604341288918,0.225616250493891,0.0035285058140524,0.1178834935016725,0.0034731930150185,0.1178834935016725,0.0034757282656196,0.1178834935016725,0.003649274716568,0.1100998433894484
1005,5,2500,0.5,159,2,0.0028959157619208,0.1531226387178033,0.0021561099378891,0.0838527707816186,0.0022445944136352,0.0838527707816186,0.0022430871780242,0.0838527707816186,0.0023300321755284,0.0739596449044508
755,5,2500,0.75,159,2,0.0030665456600441,0.0951583735476568,0.002806980329672,0.0532923243207621,0.002665070891447,0.0532923243207621,0.0026660044598525,0.0532923243207621,0.0026915033628859,0.0531375364730274
