,pi0,p2_equal_case,p2_large_case
0,0.5,0.5,0.6430479308962634
1,0.505,0.5089203232044426,0.6518505442725082
2,0.51,0.5178388616156553,0.6606194327058603
3,0.515,0.5267538277633318,0.6693523373411298
4,0.52,0.535663428820343,0.6780469439342538
5,0.525,0.5445658639176791,0.6867008794966325
6,0.53,0.5534593214514703,0.6953117089047933
7,0.535,0.5623419763795499,0.7038769314786002
8,0.54,0.5712119875051002,0.7123939775323928
9,0.545,0.5800674947450468,0.7208602049047786
10,0.55,0.5889066163809907,0.7292728954742899
11,0.555,0.5977274462906454,0.7376292516698804
12,0.56,0.6065280511579454,0.745926392987207
13,0.565,0.615306467660222,0.7541613525239028
14,0.5700000000000001,0.6240606996311259,0.762331073549644
15,0.575,0.6327887151982902,0.770432406129749
16,0.58,0.6414884438951042,0.7784621038244073
17,0.585,0.6501577737463846,0.7864168204894466
18,0.59,0.658794548328238,0.7942931072089033
19,0.595,0.6673965638029552,0.8020874093945696
20,0.6,0.675961565930427,0.8097960640933037
21,0.605,0.6844872470583103,0.8174152975492315
22,0.61,0.6929712430940035,0.8249412230751401
23,0.615,0.7014111304624435,0.832369839295505
24,0.62,0.7098044230548317,0.8396970288327659
25,0.625,0.7181485691746134,0.846918557518817
26,0.63,0.7264409484884443,0.8540300742253554
27,0.635,0.7346788689914564,0.8610271114198185
28,0.64,0.7428595639979352,0.8679050865683695
29,0.645,0.7509801891705477,0.8746593045238331
30,0.65,0.7590378196035616,0.8812849610548583
31,0.655,0.767029446978087,0.8877771476930039
32,0.66,0.7749519768102973,0.8941308580970859
33,0.665,0.7828022258168943,0.9003409961590804
34,0.67,0.7905769194257901,0.9064023861032579
35,0.675,0.7982726894641654,0.9123097848600485
36,0.6799999999999999,0.8058860720607576,0.9180578970283592
37,0.685,0.8134135058045104,0.9236413927744992
38,0.69,0.8208513302076209,0.9290549290522123
39,0.6950000000000001,0.8281957845276453,0.9342931745659295
40,0.7,0.835443007010696,0.9393508389374279
41,0.7050000000000001,0.8425890346260394,0.9442227065732348
42,0.71,0.8496298033715439,0.9489036757644904
43,0.715,0.856561149239653,0.9533888035799452
44,0.72,0.863378809944827,0.9576733571326798
45,0.725,0.8700784275258802,0.9617528718071138
46,0.73,0.8766555519503565,0.9656232170183825
47,0.735,0.8831056458631364,0.9692806700325596
48,0.74,0.8894240906378714,0.9727219982922938
49,0.745,0.8956061939076576,0.9759445505536816
50,0.75,0.9016471987705266,0.978946356928251
51,0.755,0.9075422948858295,0.9817262376157081
52,0.76,0.9132866316992555,0.9842839196802766
53,0.765,0.9188753340568278,0.9866201606320447
54,0.77,0.924303520491418,0.9887368767852138
55,0.775,0.9295663244885497,0.9906372733338269
56,0.78,0.9346589190608265,0.9923259717677015
57,0.785,0.9395765449811198,0.99380912860761
58,0.79,0.9443145430423877,0.9950945374470884
59,0.7949999999999999,0.9488683907247072,0.9961917039632531
60,0.8,0.9532337436554534,0.9971118809836839
61,0.8049999999999999,0.9574064822433296,0.9978680480700968
62,0.81,0.9613827638471308,0.9984748177863185
63,0.815,0.9651590808005467,0.9989482495176634
64,0.8200000000000001,0.9687323245485452,0.9993055524409449
65,0.825,0.972099856050913,0.9995646635169726
66,0.8300000000000001,0.9752595824645777,0.9997436961622483
67,0.835,0.9782100399165768,0.9998602727347249
68,0.8400000000000001,0.9809504819100697,0.9999307807475168
69,0.845,0.9834809725505014,0.9999696281335719
70,0.8500000000000001,0.985802483320111,0.9999886110269873
71,0.855,0.9879169915474796,0.9999965335276242
72,0.86,0.9898275779964598,0.999999207148525
73,0.865,0.9915385201204423,0.9999998792493803
74,0.87,0.9930553764861813,0.9999999899848616
75,0.875,0.9943850566735417,0.999999999684762
76,0.88,0.9955358696358001,0.9999999999981688
77,0.885,0.9965175421314383,0.9999999999999997
78,0.89,0.9973411975442813,1.0
79,0.895,0.9980192844109664,1.0
80,0.9,0.9985654436039617,1.0
81,0.905,0.9989943038476258,1.0
82,0.91,0.9993211977031646,1.0
83,0.915,0.9995617951074345,1.0
84,0.9199999999999999,0.9997316597819476,1.0
85,0.925,0.9998457459189919,1.0
86,0.9299999999999999,0.9999178683986434,1.0
87,0.935,0.999960197867837,1.0
88,0.94,0.9999828484120327,1.0
89,0.9450000000000001,0.999993633191559,1.0
90,0.95,0.9999980524500085,1.0
91,0.9550000000000001,0.9999995395239093,1.0
92,0.96,0.999999923539717,1.0
93,0.9650000000000001,0.9999999923294605,1.0
94,0.97,0.9999999996380841,1.0
95,0.9750000000000001,0.9999999999948801,1.0
96,0.98,0.9999999999999911,1.0
97,0.985,1.0,1.0
98,0.99,1.0,1.0
99,0.995,1.0,1.0
