alpha,subset_ratio,repetition,os_time,os_beta_mse,os_sigma_mse,inr_time,inr_beta_mse,inr_sigma_mse
0.1,0.1,256,77.61259150505066,1.7790890648480576e-05,0.005690692282950711,112.2176239490509,0.007916392368073798,0.24577586734525853
0.1,0.1,193,69.15578103065491,0.00019631371690212625,0.008326024161710093,132.41945028305054,0.009688968085076122,0.27617316570494915
0.1,0.1,445,87.41271924972534,0.0004302112081652924,0.012704142428743515,114.6383466720581,0.013088062261089129,0.2915974551959701
0.1,0.1,4,65.8123083114624,0.0008354943449095011,0.018366744899481542,142.31719732284546,0.2019756679548718,2.516147009625482
0.1,0.1,319,69.5604932308197,8.850648652104099e-05,0.00576675910772344,143.05093955993652,0.2098525382376198,2.6207477122868674
0.1,0.1,130,76.23560976982117,2.9273473028081175e-05,0.004160545622112751,155.51177048683167,0.20514353645997838,2.5692310312184503
0.1,0.1,382,74.09491205215454,0.0004106260835208428,0.00906046673083109,159.81665802001953,0.1985531597449385,2.5094384049293326
0.1,0.1,67,76.18250060081482,6.93084872811017e-05,0.005528909464321932,159.39472198486328,0.5088874189845125,7.216917510573523
0.1,0.1,257,28.108970642089844,0.00013743266401887742,0.006494998601065651,70.61524486541748,0.018410654166967362,0.3193276907590183
0.1,0.1,194,33.49682331085205,0.0004738723517270624,0.014612016289965763,62.39123320579529,0.002519966496449808,0.6458141378887234
0.1,0.1,320,42.88363170623779,4.96767683842799e-05,0.0051204020475415024,56.1453378200531,0.004904490423559468,0.19118522493610243
0.1,0.1,446,34.61382746696472,0.000611658070267134,0.01406496045846686,77.33415031433105,0.20471113463282248,2.5651142221529697
0.1,0.1,383,33.38433647155762,0.0004966747974053159,0.012584537995903372,51.87569856643677,0.028932405457887805,0.4685818807960711
0.1,0.1,5,37.154563188552856,0.0008246030500588065,0.017263291435372162,84.21033668518066,0.20379687139749275,2.546730435650626
0.1,0.1,131,36.724090576171875,0.0006403157074721635,0.011648264133521703,80.37412810325623,0.49756119953547484,8.149411038272563
0.1,0.1,68,28.733743906021118,0.0001869069285438331,0.007962183482057779,81.65438461303711,0.21772988125434897,2.7248038499905194
0.1,0.1,258,13.934032201766968,0.0004954979439116079,0.015367812812571942,70.11141276359558,0.018456803348267256,0.3341244675055921
0.1,0.1,321,23.24280834197998,9.005422495221154e-05,0.004797550261135016,61.018985986709595,0.014506729497755808,0.4333340278370077
0.1,0.1,384,32.586796045303345,0.0005761305296061046,0.009664206857452961,55.39036512374878,0.028480399885117285,0.4225295948066116
0.1,0.1,195,18.611491203308105,0.0008924378624859022,0.018703180632519606,89.63844466209412,0.20610129438736186,2.5695925289305888
0.1,0.1,447,33.7215096950531,0.0007535684084702505,0.01247847913911281,79.41967344284058,0.2090363254523564,2.6477818614189563
0.1,0.1,6,27.07315969467163,6.744539127036743e-05,0.005820057114271398,83.58218026161194,0.2033157145608214,2.5558764091030866
0.1,0.1,69,23.37997603416443,0.000273228789761068,0.01021995541517888,90.03175282478333,0.2015599133802847,2.530020817466614
0.1,0.1,259,16.635159492492676,0.0011867738951113727,0.020651742852424996,77.74360132217407,0.15034383925703154,1.8883375642476807
0.1,0.1,322,15.951411008834839,0.0007453266837847328,0.011586560324628702,87.68858528137207,0.19472259562467198,2.462759197126354
0.1,0.1,385,28.8820743560791,0.0009053189518673524,0.01444222104365881,77.65854740142822,0.2022496347384739,2.5601269153889423
0.1,0.1,196,28.80584454536438,0.0010058408262888722,0.017022612837072657,77.0230667591095,0.14907586102969844,1.8871795050444116
0.1,0.1,7,18.772022485733032,0.0007074943068417478,0.012479665318830699,55.65886187553406,0.018268238898653838,0.3411998725760752
0.1,0.1,448,17.090332984924316,6.314513491995084e-06,0.005055411834978577,71.81768369674683,0.23630971928115727,2.9652883803029324
0.1,0.1,132,23.909024477005005,0.0038065062080459727,0.051650581104436905,178.77083945274353,0.8144661209056636,10.454938861706482
0.1,0.1,260,20.438710689544678,8.651523403966597e-06,0.008609868826834191,80.84558033943176,0.5153652205754835,7.040930626226915
0.1,0.1,323,14.19805645942688,0.0017649216117255606,0.023247117147773912,80.60725164413452,0.4823541249054918,6.1139991920868395
0.1,0.1,8,31.047424793243408,0.000137832376449495,0.005007730287231893,52.620397329330444,0.01863514606351876,0.3458320506294465
0.1,0.1,197,35.03290820121765,3.4854787360355316e-06,0.0042988793848356965,55.09699773788452,0.02226022216131012,0.3903263057918059
