alpha,subset_ratio,repetition,os_time,os_beta_mse,os_sigma_mse,inr_time,inr_beta_mse,inr_sigma_mse
0.1,0.5,197,176.23084425926208,1.630596870723199e-05,0.0010129460805897317,400.57720971107483,0.2037501736882675,2.542824700948372
0.1,0.5,8,176.75177431106567,0.0001640287988438025,0.002605184004275408,402.3185279369354,0.15076863405318702,1.892036806477039
0.1,0.5,386,170.42253828048706,0.00011679213589703965,0.0024416832503066366,413.73792123794556,0.19937110637894317,2.4951692966314662
0.1,0.5,71,175.04925203323364,2.933506709669085e-05,0.0012888285543641129,421.9292702674866,0.20180615990203915,2.5345025789229596
0.1,0.5,260,165.01674604415894,5.604634389298413e-07,0.0009711874339202102,412.3185257911682,0.2023637951347712,2.5274496648253275
0.1,0.5,323,168.45401620864868,4.1499362835439594e-05,0.00111020189096075,414.63327622413635,0.204144733371909,2.5421788846706814
0.1,0.5,449,168.376540184021,0.0003325675036774816,0.006019002918632379,421.3648352622986,0.14816025287811327,1.8495366719571271
0.1,0.5,134,174.64780139923096,0.0002554909408270507,0.004745850742633111,576.187392950058,0.5010402658494193,9.541900204729917
