,sigma,trace
0,0.1,495.00646053224244
1,0.20101010101010103,475.9772620241486
2,0.302020202020202,349.7553266965279
3,0.40303030303030307,248.57497419556128
4,0.5040404040404041,211.21752529523272
5,0.6050505050505051,203.51014607203285
6,0.706060606060606,208.7862312266107
7,0.807070707070707,220.15482143453318
8,0.908080808080808,234.40651125342768
9,1.009090909090909,249.85700340913695
10,1.1101010101010103,265.5513738524135
11,1.2111111111111112,280.9298370950237
12,1.3121212121212122,295.6666446461761
13,1.4131313131313132,309.582338521855
14,1.5141414141414142,322.5912507620834
15,1.6151515151515152,334.6680635026047
16,1.7161616161616162,345.82573104722667
17,1.8171717171717172,356.10066074017004
18,1.9181818181818182,365.542734378808
19,2.019191919191919,374.2086324780284
20,2.1202020202020204,382.1574340901282
21,2.221212121212121,389.4477863381752
22,2.3222222222222224,396.13615204460376
23,2.423232323232323,402.2757914213559
24,2.5242424242424244,407.9162371970858
25,2.625252525252525,413.1030955167696
26,2.7262626262626264,417.87805649016616
27,2.827272727272727,422.2790346085922
28,2.9282828282828284,426.3403847842013
29,3.029292929292929,430.09315762270023
30,3.1303030303030304,433.5653699576885
31,3.231313131313131,436.78227525184724
32,3.3323232323232324,439.76662434660983
33,3.4333333333333336,442.5389110270978
34,3.5343434343434343,445.1175995359639
35,3.6353535353535356,447.5193329225712
36,3.7363636363636363,449.7591222369035
37,3.8373737373737375,451.8505172699957
38,3.9383838383838383,453.80575994359657
39,4.039393939393939,455.6359216580238
40,4.14040404040404,457.35102598569665
41,4.241414141414141,458.9601580947392
42,4.342424242424242,460.4715622338008
43,4.443434343434343,461.8927285271088
44,4.544444444444444,463.23047023196614
45,4.645454545454545,464.4909925087053
46,4.746464646464646,465.67995365144793
47,4.847474747474747,466.8025196305237
48,4.948484848484848,467.86341270613974
49,5.0494949494949495,468.86695478889527
50,5.15050505050505,469.81710614638473
51,5.251515151515151,470.7174999863295
52,5.352525252525252,471.5714733851149
53,5.4535353535353535,472.3820949757928
54,5.554545454545454,473.15218976098936
55,5.655555555555555,473.88436137315983
56,5.756565656565656,474.58101206668744
57,5.857575757575757,475.2443606928803
58,5.958585858585858,475.8764588795006
59,6.059595959595959,476.4792056105664
60,6.16060606060606,477.05436037940933
61,6.261616161616161,477.6035550679641
62,6.362626262626262,478.12830468767476
63,6.463636363636363,478.63001710193635
64,6.564646464646464,479.1100018363775
65,6.665656565656565,479.56947807131917
66,6.766666666666667,480.00958190019236
67,6.867676767676767,480.4313729284041
68,6.968686868686868,480.8358402789424
69,7.069696969696969,481.2239080637753
70,7.170707070707071,481.59644037370595
71,7.271717171717171,481.9542458336959
72,7.372727272727272,482.2980817656656
73,7.473737373737373,482.6286579963489
74,7.574747474747475,482.9466403438555
75,7.675757575757575,483.2526538131005
76,7.776767676767676,483.54728552717216
77,7.877777777777777,483.8310874189442
78,7.9787878787878785,484.1045787047965
79,8.079797979797979,484.36824816011665
80,8.180808080808081,484.62255621430955
81,8.281818181818181,484.8679368812992
82,8.382828282828282,485.10479953995616
83,8.483838383838384,485.3335305774882
84,8.584848484848484,485.5544949075897
85,8.685858585858586,485.76803737402685
86,8.786868686868686,485.97448404933374
87,8.887878787878787,486.1741434373962
88,8.988888888888889,486.3673075878891
89,9.08989898989899,486.5542531298071
90,9.19090909090909,486.7352422306725
91,9.291919191919192,486.91052348741334
92,9.392929292929292,487.0803327543694
93,9.493939393939394,487.2448939134077
94,9.594949494949494,487.4044195906866
95,9.695959595959595,487.55911182422113
96,9.796969696969697,487.7091626860405
97,9.897979797979797,487.854754862406
98,9.9989898989899,487.99606219526936
99,10.1,488.1332501878778
